name,armor,encumbrance,gold,upgrade,perk,type_armor
Ahzidal's Gauntlets of Warding DR,14,6.0,1750,Steel Ingot,Advanced,Gauntlets Heavy Armor
Ancient Nord Gauntlets,10,4.0,25,Iron Ingot,Daedric,Gauntlets Heavy Armor
Blades Gauntlets,13,8.0,85,Steel Ingot,,Gauntlets Heavy Armor
Bonemold Gauntlets DR,12,3.5,60,Bone Meal,Steel,Gauntlets Heavy Armor
Chitin Heavy Gauntlets DR,14,5.0,135,Chitin Plate,Elven,Gauntlets Heavy Armor
Daedric Gauntlets,18,6.0,625,Ebony Ingot,Daedric,Gauntlets Heavy Armor
Dawnguard Heavy Gauntlets DG,13,7.0,85,Steel Ingot,Advanced,Gauntlets Heavy Armor
Dragonplate Gauntlets,17,8.0,425,Dragon Bone,Dragon,Gauntlets Heavy Armor
Dwarven Gauntlets,13,8.0,85,Dwarven Metal Ingot,Dwarven,Gauntlets Heavy Armor
Ebony Gauntlets,16,7.0,225,Ebony Ingot,Ebony,Gauntlets Heavy Armor
Falmer Gauntlets,12,4.0,55,Chaurus Chitin,Steel or Advanced DG,Gauntlets Heavy Armor
Falmer Hardened Gauntlets DG,13,7.0,60,Chaurus Chitin,Advanced,Gauntlets Heavy Armor
Falmer Heavy Gauntlets DG,16,6.0,225,Chaurus Chitin,Advanced,Gauntlets Heavy Armor
Imperial Bracers,11,4.0,15,Steel Ingot,,Gauntlets Heavy Armor
Improved Bonemold Gauntlets DR,13,7.0,60,2 Bone Meal,Steel,Gauntlets Heavy Armor
Iron Gauntlets,11,5.0,25,Iron Ingot,,Gauntlets Heavy Armor
Ironhand Gauntlets,12,4.0,444,Iron Ingot,,Gauntlets Heavy Armor
Nordic Carved Gauntlets DR,15,6.0,220,Quicksilver Ingot,Advanced,Gauntlets Heavy Armor
Orcish Gauntlets,15,7.0,200,Orichalcum Ingot,Orcish,Gauntlets Heavy Armor
Stalhrim Gauntlets DR,17,7.0,450,Stalhrim,Ebony,Gauntlets Heavy Armor
Steel Imperial Gauntlets,12,4.0,55,Steel Ingot,Steel,Gauntlets Heavy Armor
Steel Nordic Gauntlets,12,4.0,55,Steel Ingot,Steel,Gauntlets Heavy Armor
Steel Plate Gauntlets,14,6.0,125,Corundum Ingot,Advanced,Gauntlets Heavy Armor
The Forgemaster's Fingers,11,5.0,394,Iron Ingot,,Gauntlets Heavy Armor
Wolf Gauntlets,12,4.0,11,Steel Ingot,Steel,Gauntlets Heavy Armor
Ancient Falmer Gauntlets DG,11.0,2.0,190,Refined Moonstone,Elven,Gauntlets Light Armor
Ancient Shrouded Gloves,12.0,1.0,175,Leather,,Gauntlets Light Armor
Blackguard's Gloves DR,8.0,2.0,778,Leather,,Gauntlets Light Armor
Chitin Bracers DR,8.5,2.0,50,Chitin Plate,Elven,Gauntlets Light Armor
Cultist Gloves DR,7.0,1.5,30,Leather,,Gauntlets Light Armor
Dawnguard Gauntlets DG,8.0,1.5,40,Steel Ingot,Advanced,Gauntlets Light Armor
Deathbrand Gauntlets DR,11.5,2.0,3987,Stalhrim,Ebony,Gauntlets Light Armor
Dragonscale Gauntlets,12.0,3.0,300,Dragon Scales,Dragon,Gauntlets Light Armor
Elven Gauntlets,9.0,1.0,45,Refined Moonstone,Elven,Gauntlets Light Armor
Elven Light Gauntlets,8.0,1.0,25,Refined Moonstone,Elven,Gauntlets Light Armor
Forsworn Gauntlets,7.0,2.0,20,Leather,,Gauntlets Light Armor
Fur Bracers,6.0,1.0,10,Leather,,Gauntlets Light Armor
Fur Gauntlets,5.0,2.0,5,Leather,,Gauntlets Light Armor
Gauntlets of the Old Gods,7.0,0.5,592,Leather,,Gauntlets Light Armor
Gilded Wristguards,7.0,0.5,21,,-,Gauntlets Light Armor
Glass Gauntlets,11.0,2.0,190,Refined Malachite,Glass,Gauntlets Light Armor
Gloves of the Pugilist,5.0,2.0,194,Leather,,Gauntlets Light Armor
Guild Master's Gloves,11.0,2.0,599,Leather,,Gauntlets Light Armor
Hide Bracers,5.0,1.0,10,Leather,,Gauntlets Light Armor
Imperial Light Bracers,7.0,1.0,15,Steel Ingot,,Gauntlets Light Armor
Leather Bracers,7.0,2.0,25,Leather,,Gauntlets Light Armor
Linwe's Gloves,11.0,2.0,483,Leather,,Gauntlets Light Armor
Miraak's Gloves DR,7.0,1.5,30,,-,Gauntlets Light Armor
Morag Tong Bracers DR,7.0,2.0,25,Leather,Advanced,Gauntlets Light Armor
Nightingale Gloves,10.0,2.0,1924,Void Salts,,Gauntlets Light Armor
Penitus Oculatus Bracers,6.0,1.0,15,Leather,,Gauntlets Light Armor
Scaled Bracers,9.0,2.0,70,Corundum Ingot,Advanced,Gauntlets Light Armor
Shrouded Gloves,8.0,2.0,125,Leather,,Gauntlets Light Armor
Skaal Gloves DR,7.0,1.5,30,,-,Gauntlets Light Armor
Stalhrim Light Bracers DR,11.5,2.0,215,Stalhrim,Ebony,Gauntlets Light Armor
Stormcloak Officer Bracers,7.0,2.0,7,Leather,,Gauntlets Light Armor
Thieves Guild Gloves,9.0,1.0,222,Leather,,Gauntlets Light Armor
Tumblerbane Gloves,7.0,2.0,325,,-,Gauntlets Light Armor
Ulfric's Bracers,8.0,0.5,25,,-,Gauntlets Light Armor
Vampire Gauntlets DG,8.0,1.5,25,Leather,Advanced,Gauntlets Light Armor
Worn Shrouded Gloves,4.0,2.0,50,,-,Gauntlets Light Armor
Ahzidal's Boots of Waterwalking DR,14,9.0,1125,Steel Ingot,Advanced,Boots Heavy Armor
Ancient Nord Boots,10,5.0,25,Iron Ingot,Daedric,Boots Heavy Armor
Blades Boots,13,10.0,85,Steel Ingot,,Boots Heavy Armor
Bonemold Boots DR,12,7.0,60,Bone Meal,Steel,Boots Heavy Armor
Chitin Heavy Boots DR,14,6.0,135,Chitin Plate,Elven,Boots Heavy Armor
Daedric Boots,18,10.0,625,Ebony Ingot,Daedric,Boots Heavy Armor
Dawnguard Heavy Boots DG,13,9.0,85,Steel Ingot,Advanced,Boots Heavy Armor
Dragonplate Boots,17,8.0,425,Dragon Bone,Dragon,Boots Heavy Armor
Dwarven Boots,13,10.0,85,Dwarven Metal Ingot,Dwarven,Boots Heavy Armor
Ebony Boots,16,7.0,275,Ebony Ingot,Ebony,Boots Heavy Armor
Falmer Boots,12,4.0,55,Chaurus Chitin,Steel or Advanced DG,Boots Heavy Armor
Falmer Hardened Boots DG,13,8.0,50,Chaurus Chitin,Advanced,Boots Heavy Armor
Falmer Heavy Boots DG,16,6.0,225,Chaurus Chitin,Advanced,Boots Heavy Armor
Imperial Boots,11,8.0,20,Steel Ingot,,Boots Heavy Armor
Improved Bonemold Boots DR,13,9.0,60,2 Bone Meal,Steel,Boots Heavy Armor
Iron Boots,10,6.0,25,Iron Ingot,,Boots Heavy Armor
Nordic Carved Boots DR,15,6.0,220,Quicksilver Ingot,Advanced,Boots Heavy Armor
Orcish Boots,15,7.0,200,Orichalcum Ingot,Orcish,Boots Heavy Armor
Stalhrim Boots DR,17,7.0,450,Stalhrim,Ebony,Boots Heavy Armor
Steel Shin Boots,12,8.0,55,Steel Ingot,Steel,Boots Heavy Armor
Steel Cuffed Boots,12,8.0,55,Steel Ingot,Steel,Boots Heavy Armor
Steel Plate Boots,14,9.0,125,Corundum Ingot,Advanced,Boots Heavy Armor
Wolf Boots,12,4.0,11,Steel Ingot,Steel,Boots Heavy Armor
Ancient Falmer Boots DG,11.0,2.0,190,Refined Moonstone,Elven,Boots Light Armor
Ancient Shrouded Boots,12.0,0.5,355,Leather,,Boots Light Armor
Blackguard's Boots DR,13.0,2.0,836,Leather,,Boots Light Armor
Boots of the Old Gods,7.0,1.5,1104,Leather,,Boots Light Armor
Chitin Boots DR,8.5,1.0,50,Chitin Plate,Elven,Boots Light Armor
Dawnguard Boots DG,8.0,1.5,25,Steel Ingot,Advanced,Boots Light Armor
Deathbrand Boots DR,11.5,2.0,2416,Stalhrim,Ebony,Boots Light Armor
Dragonscale Boots,12.0,3.0,300,Dragon Scales,Dragon,Boots Light Armor
Elven Boots,9.0,1.0,45,Refined Moonstone,Elven,Boots Light Armor
Elven Light Boots,8.0,1.0,23,Refined Moonstone,Elven,Boots Light Armor
Forsworn Boots,8.0,2.0,20,Leather,,Boots Light Armor
Fur Boots,5.0,2.0,5,Leather,,Boots Light Armor
Fur Shoes,6.0,2.0,4,Leather,,Boots Light Armor
Glass Boots,11.0,2.0,190,Refined Malachite,Glass,Boots Light Armor
Guild Master's Boots,11.0,2.0,649,Leather,,Boots Light Armor
Hide Boots,5.0,1.0,10,Leather,,Boots Light Armor
Imperial Light Boots,7.0,3.0,15,Steel Ingot,,Boots Light Armor
Linwe's Boots,11.0,2.0,837,Leather,,Boots Light Armor
Leather Boots,7.0,2.0,25,Leather,,Boots Light Armor
Miraak's Boots DR,11.0,2.0,25,,-,Boots Light Armor
Morag Tong Boots DR,8.0,2.0,35,Leather,Advanced,Boots Light Armor
Movarth's Boots,5.0,1.0,792,,-,Boots Light Armor
Nightingale Boots,10.0,2.0,5434,Void Salts,,Boots Light Armor
Penitus Oculatus Boots,6.0,1.0,15,Leather,,Boots Light Armor
Predator's Grace,5.0,1.0,117,Iron Ingot,,Boots Light Armor
Scaled Boots,9.0,2.0,70,Corundum Ingot,Advanced,Boots Light Armor
Shrouded Boots,8.0,2.0,305,Leather,,Boots Light Armor
Skaal Boots DR,7.0,1.5,30,,-,Boots Light Armor
Stalhrim Light Boots DR,11.5,2.0,215,Stalhrim,Ebony,Boots Light Armor
Stormcloak Officer Boots,7.0,2.0,7,Leather,,Boots Light Armor
Thieves Guild Boots,9.0,1.5,241,Leather,,Boots Light Armor
Vampire Boots DG,7.0,2.0,25,Leather,Advanced,Boots Light Armor
Worn Shrouded Boots,3.0,2.0,45,,-,Boots Light Armor
Ahzidal's Armor of Retribution DR,40,38.0,2730,Steel Ingot,Advanced,Cuirasses Heavy Armor
Ancient Nord Armor,25,28.0,125,Iron Ingot,Daedric,Cuirasses Heavy Armor
Banded Iron Armor,28,35.0,200,Corundum Ingot,,Cuirasses Heavy Armor
Blades Armor,44,45.0,400,Steel Ingot,,Cuirasses Heavy Armor
Bonemold Armor DR,32,34.0,290,Bone Meal,Steel,Cuirasses Heavy Armor
Bonemold Guard Armor DR,32,34.0,290,Bone Meal,Steel,Cuirasses Heavy Armor
Bonemold Pauldron Armor DR,32,34.0,290,Bone Meal,Steel,Cuirasses Heavy Armor
Chitin Heavy Armor DR,40,35.0,650,Chitin Plate,Elven,Cuirasses Heavy Armor
Daedric Armor,49,50.0,3200,Ebony Ingot,Daedric,Cuirasses Heavy Armor
Dawnguard Heavy Armor DG,34,42.0,425,Steel Ingot,Advanced,Cuirasses Heavy Armor
Dragonplate Armor,46,40.0,2125,Dragon Bone,Dragon,Cuirasses Heavy Armor
Dwarven Armor,34,45.0,400,Dwarven Metal Ingot,Dwarven,Cuirasses Heavy Armor
